SPX Index,,,MXEM US Equity,,,MXWD US Equity,,,MXJP US Equity,,,MXEA US Equity,,,MXEU US Equity,,,MXASJ US Equity,,,RTY US Equity,
Date,SPX Index - TRND,,Date,MXEM Index - TRND,,Date,MXWD Index - TRND,,Date,MXJP Index - TRND,,Date,MXEA Index - TRND,,Date,MXEU Index - TRND,,Date,MXASJ Index - TRND,,Date,RTY Index - TRND
6/30/31,14.83,,7/31/98,115.4967,,6/28/91,119.884,,6/29/73,207.453,,6/29/73,156.28,,6/28/02,97.92,,6/28/91,173.39,,6/30/82,64.67
7/31/31,13.73,,8/31/98,98.0172,,7/31/91,125.336,,7/31/73,218.6211,,7/31/73,153.97,,7/31/02,87.6701,,7/31/91,178.81,,7/30/82,63.59
8/31/31,13.86,,9/30/98,89.3673,,8/30/91,124.821,,8/31/73,209.6658,,8/31/73,145.76,,8/30/02,87.6433,,8/30/91,174.23,,8/31/82,68.38
9/30/31,9.71,,10/30/98,95.4591,,9/30/91,127.737,,9/28/73,198.2851,,9/28/73,144.4,,9/30/02,75.5387,,9/30/91,168.91,,9/30/82,70.84
10/30/31,10.43,,11/30/98,103.2268,,10/31/91,129.699,,10/31/73,196.9399,,10/31/73,147.13,,10/31/02,82.6687,,10/31/91,171.04,,10/29/82,80.86
11/30/31,9.5,,12/31/98,107.3374,,11/29/91,123.853,,11/30/73,178.8482,,11/30/73,125.6,,11/29/02,86.3471,,11/29/91,176.08,,11/30/82,87.96
12/31/31,8.12,,1/29/99,110.2229,,12/31/91,132.78,,12/31/73,168.6802,,12/31/73,120.09,,12/31/02,78.8937,,12/31/91,184.44,,12/31/82,88.9
1/29/32,7.94,,2/26/99,108.4694,,1/31/92,130.533,,1/31/74,179.1973,,1/31/74,120.55,,1/31/03,73.4784,,1/31/92,197.05,,1/31/83,95.53
2/29/32,8.29,,3/31/99,110.5515,,2/28/92,128.293,,2/28/74,178.6354,,2/28/74,124.18,,2/28/03,70.8033,,2/28/92,203.6,,2/28/83,101.23
3/31/32,7.31,,4/30/99,115.9048,,3/31/92,122.311,,3/29/74,173.4487,,3/29/74,120.59,,3/31/03,68.9318,,3/31/92,201.43,,3/31/83,103.77
4/29/32,5.83,,5/31/99,113.2516,,4/30/92,123.67,,4/30/74,178.6725,,4/30/74,123.44,,4/30/03,76.5881,,4/30/92,208.24,,4/29/83,111.2
